date,code,close,volumn,return,change,marketcap
2023-01-05,601857,4.98,764221,-0.2,-0.01,9114.44
2023-01-06,601857,4.97,640460,-0.2,-0.01,9114.44
2023-01-09,601857,4.98,664377,0.2,0.01,9114.44
2023-01-10,601857,4.96,530174,-0.4,-0.02,9114.44
2023-01-11,601857,4.97,769815,0.2,0.01,9114.44
2023-01-12,601857,5.04,1134671,1.41,0.07,9114.44
2023-01-13,601857,5.09,1033610,0.99,0.05,9114.44
2023-01-16,601857,5.11,1029217,0.39,0.02,9114.44
2023-01-17,601857,5.08,734994,-0.59,-0.03,9114.44
2023-01-18,601857,5.09,737496,0.2,0.01,9114.44
2023-01-19,601857,5.1,836184,0.2,0.01,9114.44
2023-01-20,601857,5.19,1657264,1.76,0.09,9114.44
2023-01-30,601857,5.21,1390744,0.39,0.02,9114.44
2023-01-31,601857,5.17,1019934,-0.77,-0.04,9114.44
2023-02-01,601857,5.2,1186953,0.58,0.03,9114.44
2023-02-02,601857,5.18,1001027,-0.38,-0.02,9114.44
2023-02-03,601857,5.17,1104656,-0.19,-0.01,9114.44
2023-02-06,601857,5.15,824795,-0.39,-0.02,9114.44
2023-02-07,601857,5.17,683317,0.39,0.02,9114.44
2023-02-08,601857,5.15,814751,-0.39,-0.02,9114.44
2023-02-09,601857,5.17,550235,0.39,0.02,9114.44
2023-02-10,601857,5.14,658020,-0.58,-0.03,9114.44
2023-02-13,601857,5.15,776967,0.19,0.01,9114.44
2023-02-14,601857,5.17,509601,0.39,0.02,9462.18
2023-02-15,601857,5.15,690213,-0.39,-0.02,9462.18
2023-02-16,601857,5.15,1453962,0,0,9462.18
2023-02-17,601857,5.15,817739,0,0,9462.18
2023-02-20,601857,5.24,1519570,1.75,0.09,9462.18
2023-02-21,601857,5.26,1266276,0.38,0.02,9462.18
2023-02-22,601857,5.24,710108,-0.38,-0.02,9462.18
2023-02-23,601857,5.25,931993,0.19,0.01,9462.18
2023-02-24,601857,5.23,706267,-0.38,-0.02,9572
2023-02-27,601857,5.21,619285,-0.38,-0.02,9572
2023-02-28,601857,5.23,780919,0.38,0.02,9572
2023-03-01,601857,5.28,1190146,0.96,0.05,9572
2023-03-02,601857,5.36,1913892,1.52,0.08,9572
2023-03-03,601857,5.5,2395040,2.61,0.14,9572
2023-03-06,601857,5.51,1980120,0.18,0.01,10084.46
2023-03-07,601857,5.64,4481967,2.36,0.13,10084.46
2023-03-08,601857,5.57,1922833,-1.24,-0.07,10084.46
2023-03-09,601857,5.57,1534064,0,0,10084.46
2023-03-10,601857,5.44,1797840,-2.33,-0.13,10084.46
2023-03-13,601857,5.68,2510706,4.41,0.24,10084.46
2023-03-14,601857,5.55,2046658,-2.29,-0.13,10084.46
2023-03-15,601857,5.65,2231515,1.8,0.1,10084.46
2023-03-16,601857,5.48,2399968,-3.01,-0.17,10029.55
2023-03-17,601857,5.83,5235088,6.39,0.35,10029.55
2023-03-20,601857,5.77,4261525,-1.03,-0.06,10029.55
2023-03-21,601857,5.68,2255964,-1.56,-0.09,10029.55
2023-03-22,601857,5.7,1493989,0.35,0.02,10029.55
2023-03-23,601857,5.77,1857281,1.23,0.07,10029.55
2023-03-24,601857,5.64,1823709,-2.25,-0.13,10029.55
2023-03-27,601857,5.58,1589953,-1.06,-0.06,10029.55
2023-03-28,601857,5.67,1745598,1.61,0.09,10029.55
2023-03-29,601857,5.61,1235272,-1.06,-0.06,10029.55
2023-03-30,601857,6,5742410,6.95,0.39,10029.55
2023-03-31,601857,5.92,2082518,-1.33,-0.08,10029.55
2023-04-03,601857,6,3411577,1.35,0.08,10029.55
2023-04-04,601857,6.17,2940456,2.83,0.17,10029.55
2023-04-06,601857,6.18,1829100,0.16,0.01,10029.55
2023-04-07,601857,6.15,1198064,-0.49,-0.03,10029.55
2023-04-10,601857,6.46,3384283,5.04,0.31,10029.55
2023-04-11,601857,6.56,2763521,1.55,0.1,10029.55
2023-04-12,601857,6.83,3115413,4.12,0.27,10029.55
2023-04-13,601857,6.78,4540456,-0.73,-0.05,10029.55
2023-04-14,601857,6.9,2753880,1.77,0.12,10029.55
2023-04-17,601857,7.34,4255724,6.38,0.44,10029.55
2023-04-18,601857,7.29,2703990,-0.68,-0.05,10029.55
2023-04-19,601857,7.19,2556749,-1.37,-0.1,10029.55
2023-04-20,601857,7.32,2801528,1.81,0.13,10029.55
2023-04-21,601857,7.29,2745668,-0.41,-0.03,10029.55
2023-04-24,601857,7.32,2344652,0.41,0.03,10029.55
2023-04-25,601857,7.62,3384198,4.1,0.3,13946.2
2023-04-26,601857,7.54,2585258,-1.05,-0.08,13946.2
2023-04-27,601857,7.5,2061085,-0.53,-0.04,13946.2
2023-04-28,601857,7.89,2747828,5.2,0.39,13946.2
2023-05-04,601857,8.01,3555489,1.52,0.12,13946.2
2023-05-05,601857,7.97,2361696,-0.5,-0.04,14586.77
2023-05-08,601857,8.58,3490880,7.65,0.61,14586.77
2023-05-09,601857,8.09,4124989,-5.71,-0.49,14586.77
2023-05-10,601857,7.77,4139163,-3.96,-0.32,14586.77
2023-05-11,601857,7.63,2017570,-1.8,-0.14,14586.77
2023-05-12,601857,7.5,2689046,-1.7,-0.13,14586.77
2023-05-15,601857,7.47,2942770,-0.4,-0.03,13671.67
2023-05-16,601857,7.52,2174596,0.67,0.05,13671.67
2023-05-17,601857,7.47,1235443,-0.66,-0.05,13671.67
2023-05-18,601857,7.71,2038920,3.21,0.24,13671.67
2023-05-19,601857,7.53,1496114,-2.33,-0.18,13671.67
2023-05-22,601857,7.49,1296736,-0.53,-0.04,13671.67
2023-05-23,601857,7.35,1222603,-1.87,-0.14,13671.67
2023-05-24,601857,7.22,1622572,-1.77,-0.13,13671.67
2023-05-25,601857,7.16,2281736,-0.83,-0.06,13104.3
2023-05-26,601857,7.11,1241262,-0.7,-0.05,13104.3
2023-05-29,601857,7.62,2692567,7.17,0.51,13104.3
2023-05-30,601857,7.67,2169730,0.66,0.05,13104.3
2023-05-31,601857,7.5,1884317,-2.22,-0.17,13104.3
2023-06-01,601857,7.63,1803213,1.73,0.13,13104.3
2023-06-02,601857,7.65,1432497,0.26,0.02,13104.3
2023-06-05,601857,7.72,1380727,0.92,0.07,13104.3
2023-06-06,601857,7.66,1237333,-0.78,-0.06,13104.3
2023-06-07,601857,7.66,1029440,0,0,13104.3
2023-06-08,601857,7.82,1691084,2.09,0.16,13104.3
2023-06-09,601857,7.86,1725688,0.51,0.04,13104.3
2023-06-12,601857,7.78,1845869,-1.02,-0.08,13104.3
2023-06-13,601857,7.61,2050492,-2.19,-0.17,13104.3
2023-06-14,601857,7.6,1360193,-0.13,-0.01,13909.59
2023-06-15,601857,7.56,1244005,-0.53,-0.04,13909.59
2023-06-16,601857,7.58,1593429,0.26,0.02,13909.59
2023-06-19,601857,7.52,1154892,-0.79,-0.06,13909.59
2023-06-20,601857,7.37,1480959,-1.99,-0.15,13909.59
2023-06-21,601857,7.52,2429417,2.04,0.15,13909.59
2023-06-26,601857,7.46,1567128,-0.8,-0.06,13909.59
2023-06-27,601857,7.73,2167185,3.62,0.27,13909.59
2023-06-28,601857,7.54,1508646,-2.46,-0.19,13909.59
2023-06-29,601857,7.47,965943,-0.93,-0.07,13909.59
2023-06-30,601857,7.47,763164,0,0,13909.59
2023-07-03,601857,7.82,1720806,4.69,0.35,13909.59
2023-07-04,601857,7.79,1396819,-0.38,-0.03,14257.33
2023-07-05,601857,7.79,796149,0,0,14257.33
2023-07-06,601857,7.75,949319,-0.51,-0.04,14257.33
2023-07-07,601857,7.73,1034963,-0.26,-0.02,14257.33
2023-07-10,601857,7.63,1116973,-1.29,-0.1,14257.33
2023-07-11,601857,7.64,723912,0.13,0.01,14257.33
2023-07-12,601857,7.78,1437319,1.83,0.14,14257.33
2023-07-13,601857,8.24,2618371,5.91,0.46,14257.33
2023-07-14,601857,8.24,1244159,0,0,15080.93
2023-07-17,601857,8.13,805655,-1.33,-0.11,15080.93
2023-07-18,601857,8.06,763121,-0.86,-0.07,15080.93
2023-07-19,601857,8.14,850580,0.99,0.08,15080.93
2023-07-20,601857,8.02,871355,-1.47,-0.12,15080.93
2023-07-21,601857,8.01,587324,-0.12,-0.01,15080.93
2023-07-24,601857,7.96,632844,-0.62,-0.05,14568.47
2023-07-25,601857,8.03,1336450,0.88,0.07,14568.47
2023-07-26,601857,7.86,1398929,-2.12,-0.17,14568.47
2023-07-27,601857,7.87,1041708,0.13,0.01,14568.47
2023-07-28,601857,7.97,1230849,1.27,0.1,14568.47
2023-07-31,601857,7.92,1403416,-0.63,-0.05,14568.47
2023-08-01,601857,8.08,1294729,2.02,0.16,14568.47
2023-08-02,601857,7.63,3351154,-5.57,-0.45,14568.47
2023-08-03,601857,7.58,1523922,-0.66,-0.05,13872.99
2023-08-04,601857,7.62,1544003,0.53,0.04,13872.99
2023-08-07,601857,7.69,773119,0.92,0.07,13872.99
2023-08-08,601857,7.79,1059648,1.3,0.1,13872.99
2023-08-09,601857,7.8,809136,0.13,0.01,13872.99
2023-08-10,601857,7.92,1092984,1.54,0.12,13872.99
2023-08-11,601857,7.79,764126,-1.64,-0.13,13872.99
2023-08-14,601857,7.84,808896,0.64,0.05,13872.99
2023-08-15,601857,7.84,626279,0,0,13872.99
2023-08-16,601857,7.65,991037,-2.42,-0.19,13872.99
2023-08-17,601857,7.69,595233,0.52,0.04,13872.99
2023-08-18,601857,7.68,577901,-0.13,-0.01,13872.99
2023-08-21,601857,7.56,648950,-1.56,-0.12,13872.99
